[ 0.52014932  0.17739494] 0
[ 0.58941751  0.18396889] 0
[ 0.5897187   0.17678824] 0
[ 0.55008445  0.1567468 ] 0
[ 0.59791301  0.17975522] 0
[ 0.50710566  0.17872584] 0
[ 0.5248071   0.14904474] 0
[ 0.55353529  0.17040358] 0
[ 0.51725948  0.13281558] 0
[ 0.58302159  0.18453984] 0
[ 0.5645886   0.19897055] 0
[ 0.50855958  0.14267196] 0
[ 0.58998707  0.19237294] 0
[ 0.52744761  0.1447695 ] 0
[ 0.54147189  0.16757153] 0
[ 0.54339422  0.16422467] 0
[ 0.57217697  0.19085583] 0
[ 0.52253902  0.17961401] 0
[ 0.57951882  0.19674421] 0
[ 0.52887502  0.12000666] 0
[ 0.50279576  0.18657791] 0
[ 0.54649729  0.17657929] 0
[ 0.54567498  0.17958868] 0
[ 0.54370412  0.19027561] 0
[ 0.5486757   0.15749194] 0
[ 0.52904881  0.16333175] 0
[ 0.54451588  0.19942446] 0
[ 0.5481205   0.19038561] 0
[ 0.51845026  0.11980534] 0
[ 0.50243541  0.17189563] 0
[ 0.5890484   0.11679585] 0
[ 0.51314201  0.12791887] 0
[ 0.51970362  0.19643024] 0
[ 0.58996129  0.18646383] 0
[ 0.50240441  0.16474451] 0
[ 0.5797982   0.18982853] 0
[ 0.51979154  0.1300943 ] 0
[ 0.51221008  0.15952241] 0
[ 0.52900537  0.17078546] 0
[ 0.55688729  0.16357569] 0
[ 0.51049723  0.17524153] 0
[ 0.51293041  0.18837516] 0
[ 0.52293277  0.18501532] 0
[ 0.50524632  0.17156044] 0
[ 0.57722944  0.18765062] 0
[ 0.53244545  0.19697471] 0
[ 0.50682587  0.19475267] 0
[ 0.59126798  0.17925479] 0
[ 0.57379451  0.17788374] 0
[ 0.51389148  0.17567367] 0
[ 0.57928572  0.19481523] 0
[ 0.56864003  0.12497629] 0
