[ 0.6181014   0.69735474] 0
[ 0.61711589  0.67154141] 0
[ 0.67198628  0.69302504] 0
[ 0.65115494  0.69496928] 0
[ 0.62947321  0.68967305] 0
[ 0.62039019  0.68052975] 0
[ 0.60786312  0.68256064] 0
[ 0.61836037  0.67594954] 0
[ 0.62145419  0.68871086] 0
[ 0.62880411  0.69373192] 0
[ 0.63891441  0.68724079] 0
[ 0.64600424  0.69610915] 0
[ 0.62430782  0.6825913 ] 0
[ 0.65382363  0.68537725] 0
[ 0.65952349  0.69947344] 0
[ 0.61132073  0.69015318] 0
[ 0.65220296  0.69400994] 0
[ 0.63889696  0.69852418] 0
[ 0.61335706  0.69287168] 0
[ 0.619838   0.6998968] 0
[ 0.61007727  0.69370927] 0
[ 0.63543254  0.6913138 ] 0
[ 0.60665903  0.67963703] 0
[ 0.6472098   0.69144334] 0
[ 0.61265261  0.69428197] 0
[ 0.60149934  0.68304281] 0
[ 0.66850676  0.68041952] 0
[ 0.62186519  0.69133143] 0
[ 0.61638656  0.67871551] 0
[ 0.62827133  0.69348306] 0
[ 0.6322041   0.69838011] 0
[ 0.61544353  0.67883279] 0
[ 0.62138275  0.67626627] 0
[ 0.61061903  0.69776295] 0
[ 0.60322965  0.67320766] 0
[ 0.63485421  0.68735403] 0
[ 0.64420697  0.68792117] 0
[ 0.67705415  0.69855063] 0
[ 0.62490938  0.68792351] 0
[ 0.63193688  0.69908405] 0
[ 0.62154552  0.69760914] 0
[ 0.62202376  0.6825437 ] 0
[ 0.60572727  0.68572406] 0
[ 0.60946433  0.69798395] 0
[ 0.65632687  0.69715846] 0
[ 0.63651151  0.68622671] 0
[ 0.61404876  0.66100185] 0
[ 0.64097084  0.68569834] 0
[ 0.60137973  0.68263531] 0
[ 0.61397781  0.68966657] 0
[ 0.61458694  0.6892915 ] 0
[ 0.64122057  0.68823678] 0
[ 0.63035746  0.69066729] 0
[ 0.60991106  0.69424429] 0
[ 0.62332004  0.68682401] 0
[ 0.6034503   0.68442106] 0
[ 0.60535036  0.65213526] 0
[ 0.61599126  0.69718966] 0
[ 0.61208531  0.68812311] 0
[ 0.63942457  0.69479007] 0
[ 0.61024535  0.67324297] 0
[ 0.69076617  0.61052022] 0
[ 0.63159155  0.6940828 ] 0
[ 0.60285202  0.695242  ] 0
[ 0.60544111  0.66372593] 0
[ 0.61284788  0.66805255] 0
[ 0.61718371  0.6958226 ] 0
[ 0.62365265  0.69322491] 0
[ 0.60869582  0.6524161 ] 0
[ 0.60523406  0.67628825] 0
[ 0.60770783  0.68800804] 0
[ 0.60040783  0.66292973] 0
[ 0.63329903  0.68111676] 0
[ 0.62251274  0.68396665] 0
[ 0.63176743  0.6993194 ] 0
[ 0.63499257  0.68022175] 0
[ 0.6047907   0.66775405] 0
[ 0.61044177  0.67429131] 0
[ 0.64008491  0.67893861] 0
[ 0.65545925  0.69612868] 0
[ 0.60510596  0.67613679] 0
[ 0.61028211  0.69062236] 0
[ 0.60119611  0.66261032] 0
[ 0.62668183  0.68517976] 0
[ 0.65103152  0.69471896] 0
[ 0.61896509  0.6908797 ] 0
[ 0.60191767  0.6690924 ] 0
[ 0.64606796  0.69951953] 0
[ 0.61149225  0.66959481] 0
[ 0.63915439  0.69427173] 0
[ 0.6216148   0.69738403] 0
[ 0.60528621  0.67002603] 0
[ 0.6117912   0.67567176] 0
[ 0.67442508  0.69156418] 0
[ 0.63445325  0.6872214 ] 0
[ 0.64905387  0.69068641] 0
[ 0.60210258  0.67427471] 0
[ 0.64844203  0.67575644] 0
[ 0.61634401  0.6918935 ] 0
[ 0.62335804  0.68222139] 0
[ 0.61265406  0.68433257] 0
[ 0.60423591  0.65491634] 0
[ 0.61202938  0.66772599] 0
[ 0.61611357  0.68653049] 0
[ 0.63766753  0.68095992] 0
[ 0.66671763  0.69613252] 0
[ 0.60240037  0.67895287] 0
[ 0.60205751  0.69016291] 0
[ 0.65518655  0.69365616] 0
[ 0.64251927  0.6937105 ] 0
[ 0.62611023  0.67887634] 0
[ 0.60962362  0.66003401] 0
[ 0.60960761  0.65975331] 0
[ 0.65601227  0.68508894] 0
[ 0.60089652  0.68627467] 0
[ 0.60891728  0.68299573] 0
[ 0.63412286  0.66735519] 0
[ 0.65529185  0.6824448 ] 0
[ 0.66300419  0.69820032] 0
[ 0.61729638  0.69726922] 0
[ 0.62516456  0.69678631] 0
[ 0.67611114  0.69804633] 0
[ 0.61929135  0.69831476] 0
[ 0.63954001  0.67048318] 0
[ 0.60118324  0.6706549 ] 0
[ 0.60535651  0.67388159] 0
[ 0.61416778  0.67075138] 0
[ 0.60915813  0.66598287] 0
[ 0.63518566  0.68887364] 0
[ 0.60986745  0.66898502] 0
[ 0.60196661  0.68301241] 0
[ 0.61679766  0.68572422] 0
[ 0.62172151  0.69654792] 0
[ 0.60435705  0.6764613 ] 0
[ 0.64451968  0.6967722 ] 0
[ 0.61159069  0.65690763] 0
[ 0.63791951  0.69496011] 0
[ 0.63057248  0.68248328] 0
[ 0.63134601  0.69616036] 0
[ 0.63250564  0.66746337] 0
[ 0.60378874  0.69243169] 0
[ 0.60514365  0.66990973] 0
[ 0.6374358   0.69916458] 0
[ 0.61805511  0.69088974] 0
[ 0.67810448  0.62378739] 0
[ 0.60262262  0.68466458] 0
[ 0.61443138  0.6722086 ] 0
[ 0.64411738  0.68035661] 0
[ 0.64463408  0.6906457 ] 0
[ 0.60757802  0.65464038] 0
[ 0.61890367  0.689982  ] 0
[ 0.67195823  0.69036869] 0
[ 0.63223822  0.69233819] 0
[ 0.61827801  0.68910615] 0
[ 0.62174227  0.67263845] 0
[ 0.60751042  0.68944663] 0
[ 0.64460867  0.68624094] 0
[ 0.62101998  0.69367155] 0
[ 0.6047962   0.68228217] 0
[ 0.64957273  0.69983122] 0
[ 0.62413173  0.66807841] 0
[ 0.60890383  0.69256425] 0
[ 0.62097354  0.69571584] 0
[ 0.61084183  0.68854902] 0
[ 0.60831283  0.6744018 ] 0
[ 0.61034356  0.66004795] 0
[ 0.64621498  0.68425181] 0
[ 0.62599508  0.69111642] 0
[ 0.60926789  0.68425295] 0
[ 0.60221567  0.6623138 ] 0
[ 0.62367836  0.68791845] 0
[ 0.64883263  0.69825935] 0
[ 0.64294863  0.67688808] 0
[ 0.61226926  0.66875637] 0
[ 0.63068447  0.66025012] 0
[ 0.61165129  0.69456281] 0
[ 0.61077528  0.6627651 ] 0
[ 0.62999259  0.68334947] 0
[ 0.60797807  0.69297821] 0
[ 0.62541549  0.67464273] 0
[ 0.60145431  0.65261234] 0
[ 0.60842784  0.68870732] 0
[ 0.61367252  0.65597369] 0
[ 0.60844333  0.67904832] 0
[ 0.6140567   0.68395197] 0
[ 0.61088761  0.68748242] 0
[ 0.60893089  0.68756649] 0
[ 0.62959085  0.69207564] 0
[ 0.64262484  0.67579043] 0
[ 0.61073719  0.67435874] 0
[ 0.6377067   0.60411136] 0
[ 0.62882615  0.68763303] 0
[ 0.64045741  0.69629197] 0
[ 0.60869149  0.65861531] 0
[ 0.61278676  0.67485239] 0
[ 0.63051422  0.69449559] 0
[ 0.60452505  0.69342686] 0
[ 0.6038715   0.66671062] 0
[ 0.60677246  0.69213936] 0
[ 0.63573176  0.69277309] 0
[ 0.63884893  0.68615117] 0
[ 0.60003368  0.67991997] 0
[ 0.61667976  0.68233045] 0
[ 0.65960833  0.69462509] 0
[ 0.6001921   0.66673626] 0
[ 0.65355719  0.69726002] 0
[ 0.60926179  0.69760006] 0
[ 0.60798362  0.67228075] 0
[ 0.63458372  0.68498871] 0
[ 0.61870465  0.6787466 ] 0
[ 0.60125179  0.68133738] 0
[ 0.61156524  0.69991702] 0
[ 0.62790179  0.68760484] 0
[ 0.6332047   0.67174326] 0
[ 0.60242017  0.67714685] 0
[ 0.62716185  0.68853069] 0
[ 0.61135187  0.67258542] 0
[ 0.64043082  0.69302541] 0
[ 0.61546694  0.67352683] 0
[ 0.6614651   0.68691492] 0
[ 0.63720851  0.68646689] 0
[ 0.60893663  0.66076727] 0
[ 0.61085363  0.69514238] 0
[ 0.64601641  0.68446456] 0
[ 0.64446809  0.6930435 ] 0
[ 0.61624681  0.65409644] 0
[ 0.62277415  0.68532145] 0
[ 0.62786998  0.69339322] 0
[ 0.61800264  0.69207823] 0
[ 0.61974739  0.69400749] 0
[ 0.6231269   0.68007983] 0
[ 0.62959345  0.69710875] 0
[ 0.63877864  0.68248606] 0
[ 0.64493939  0.68537545] 0
[ 0.62843619  0.69746617] 0
[ 0.60085261  0.69051242] 0
[ 0.61427272  0.65996954] 0
[ 0.62275335  0.68086994] 0
[ 0.61079811  0.69268685] 0
[ 0.60026223  0.6724753 ] 0
[ 0.61755942  0.68297335] 0
[ 0.62240143  0.67534262] 0
[ 0.60221727  0.68183541] 0
[ 0.6345023   0.69766592] 0
[ 0.61887437  0.6720928 ] 0
[ 0.6498253   0.68494582] 0
[ 0.6016806  0.6533305] 0
[ 0.62079829  0.67690821] 0
[ 0.63433809  0.67431211] 0
[ 0.62075547  0.68048278] 0
[ 0.62228354  0.61604794] 0
[ 0.64046687  0.6801847 ] 0
[ 0.62386903  0.68435667] 0
[ 0.61219166  0.69908489] 0
[ 0.60562191  0.69084637] 0
[ 0.6675966   0.69844676] 0
[ 0.61503419  0.66014251] 0
[ 0.61624929  0.6841638 ] 0
[ 0.60516404  0.6694984 ] 0
[ 0.61977395  0.693893  ] 0
[ 0.61613939  0.6496828 ] 0
[ 0.60216885  0.69611954] 0
[ 0.60065332  0.69741443] 0
[ 0.62615784  0.68763796] 0
[ 0.6117662   0.67927374] 0
[ 0.63306076  0.68621439] 0
[ 0.61777565  0.67060315] 0
[ 0.659843    0.68242929] 0
[ 0.62243765  0.69617033] 0
[ 0.61035715  0.6782487 ] 0
[ 0.6423269   0.69743127] 0
[ 0.60210548  0.69793381] 0
[ 0.6161021  0.68981  ] 0
[ 0.63652659  0.69211622] 0
[ 0.60446384  0.66531141] 0
[ 0.61961365  0.68063429] 0
[ 0.63631834  0.68641142] 0
[ 0.60232057  0.67714602] 0
[ 0.64797556  0.68939795] 0
[ 0.610433    0.69604951] 0
[ 0.62793697  0.68524547] 0
[ 0.61040797  0.68390931] 0
[ 0.63660657  0.68282559] 0
[ 0.62913198  0.66724169] 0
[ 0.60579206  0.6861348 ] 0
[ 0.61214769  0.69309256] 0
[ 0.61286845  0.68164368] 0
[ 0.60599835  0.6900735 ] 0
[ 0.63685638  0.69740395] 0
[ 0.6159116   0.68888571] 0
[ 0.60674032  0.66983508] 0
[ 0.65320814  0.69286667] 0
[ 0.64211151  0.69715179] 0
[ 0.61146129  0.67685632] 0
[ 0.61229111  0.6943832 ] 0
[ 0.65749583  0.69718185] 0
[ 0.63280905  0.68609846] 0
