[ 0.89957333  0.4940986 ] 0
[ 0.8285501   0.41054508] 0
[ 0.83753729  0.43062456] 0
[ 0.84883755  0.49015014] 0
[ 0.88606015  0.49296814] 0
[ 0.89679365  0.44055453] 0
[ 0.80671255  0.47344899] 0
[ 0.81911814  0.43747983] 0
[ 0.86434664  0.43985688] 0
[ 0.87744158  0.46213456] 0
[ 0.87593301  0.44625104] 0
[ 0.83441988  0.42133238] 0
[ 0.85526232  0.48092249] 0
[ 0.81424472  0.49279312] 0
[ 0.87679514  0.45056135] 0
[ 0.88068882  0.49022524] 0
[ 0.80928651  0.4122764 ] 0
[ 0.82655578  0.48962271] 0
[ 0.86013468  0.4751315 ] 0
[ 0.86502127  0.41124463] 0
[ 0.86104314  0.4883232 ] 0
[ 0.8759036   0.47599674] 0
[ 0.85776234  0.44536315] 0
[ 0.84691234  0.41533889] 0
[ 0.84955414  0.49943293] 0
[ 0.8955858   0.46865788] 0
[ 0.82501905  0.47751749] 0
[ 0.8211597   0.45722571] 0
[ 0.80495082  0.41250207] 0
[ 0.84736089  0.44979076] 0
[ 0.87035673  0.49982827] 0
[ 0.81625046  0.49808366] 0
[ 0.83218603  0.45700478] 0
[ 0.81999325  0.49166454] 0
[ 0.83353394  0.49107394] 0
[ 0.86201209  0.49779705] 0
[ 0.8193712   0.45810319] 0
[ 0.87207147  0.42443909] 0
[ 0.88381861  0.46254545] 0
[ 0.84257017  0.44004792] 0
[ 0.83784562  0.43091367] 0
[ 0.82156339  0.48528933] 0
[ 0.89505099  0.44326454] 0
[ 0.80718439  0.48404613] 0
[ 0.87684448  0.48226851] 0
[ 0.82150269  0.44743432] 0
[ 0.89243766  0.43756408] 0
[ 0.85070767  0.4575028 ] 0
[ 0.80596604  0.41724934] 0
[ 0.81370082  0.4901567 ] 0
[ 0.81958411  0.44696631] 0
[ 0.81675666  0.49103985] 0
[ 0.85292497  0.49788278] 0
[ 0.84671444  0.44861596] 0
[ 0.85358296  0.46315968] 0
[ 0.86919587  0.4842161 ] 0
[ 0.85551914  0.45704181] 0
[ 0.84170619  0.47230765] 0
[ 0.88449326  0.48367686] 0
[ 0.81074458  0.4574705 ] 0
[ 0.89025116  0.48266478] 0
[ 0.80394426  0.48426098] 0
[ 0.86917505  0.42086433] 0
[ 0.8692103   0.45943365] 0
[ 0.88604435  0.45414542] 0
[ 0.86564662  0.4305466 ] 0
[ 0.87678765  0.48509367] 0
[ 0.83586654  0.47703351] 0
[ 0.85144727  0.46497334] 0
[ 0.85613087  0.47645465] 0
[ 0.82266986  0.40494003] 0
[ 0.86238981  0.41889453] 0
[ 0.88723491  0.46984497] 0
[ 0.82637202  0.46394613] 0
[ 0.82929143  0.41431918] 0
[ 0.85885466  0.49612335] 0
[ 0.85946726  0.43952219] 0
[ 0.8613652   0.41473679] 0
[ 0.87848239  0.48545896] 0
[ 0.88347191  0.48610313] 0
[ 0.85863673  0.46995821] 0
[ 0.85060115  0.40971037] 0
[ 0.8869263   0.43730016] 0
[ 0.83795656  0.4973872 ] 0
[ 0.87684785  0.45010151] 0
[ 0.8784901   0.46064447] 0
[ 0.85639694  0.49620274] 0
[ 0.80790543  0.47024743] 0
[ 0.86852452  0.46450667] 0
[ 0.88255247  0.49476872] 0
[ 0.89727611  0.43912101] 0
[ 0.80578605  0.45597546] 0
[ 0.84243019  0.46577942] 0
[ 0.87093453  0.40357958] 0
[ 0.89225502  0.42534618] 0
[ 0.82592845  0.42420736] 0
[ 0.80255392  0.41118373] 0
[ 0.89762727  0.43444897] 0
[ 0.83613469  0.46063147] 0
[ 0.84283008  0.40328809] 0
[ 0.83621289  0.41882876] 0
[ 0.82928829  0.48697804] 0
[ 0.82315867  0.45542375] 0
[ 0.88160948  0.49789507] 0
[ 0.87238124  0.47096906] 0
[ 0.80455602  0.44762064] 0
[ 0.86547104  0.44735935] 0
[ 0.85683753  0.49855844] 0
[ 0.83502547  0.47066851] 0
[ 0.81493914  0.47958409] 0
[ 0.84895858  0.44827192] 0
[ 0.84984272  0.46042116] 0
[ 0.8986979   0.41900318] 0
[ 0.86819945  0.4405218 ] 0
[ 0.85478603  0.48830497] 0
[ 0.82241863  0.43253635] 0
[ 0.81986346  0.49904751] 0
[ 0.81119856  0.48616059] 0
[ 0.80699688  0.4997878 ] 0
[ 0.83414945  0.41538562] 0
[ 0.80057816  0.48324956] 0
[ 0.81608186  0.45863638] 0
[ 0.86980172  0.46846798] 0
[ 0.86010337  0.42640534] 0
[ 0.8393928   0.41322116] 0
[ 0.84165606  0.43820257] 0
[ 0.89777713  0.474693  ] 0
[ 0.8365768   0.47441867] 0
[ 0.81852097  0.45137097] 0
[ 0.85728829  0.46050457] 0
[ 0.86235484  0.47089369] 0
[ 0.84321209  0.4538469 ] 0
[ 0.80459545  0.47171251] 0
[ 0.89946824  0.47542224] 0
[ 0.86809777  0.48926607] 0
[ 0.83515197  0.48301457] 0
[ 0.80875487  0.4125905 ] 0
[ 0.85182102  0.45443762] 0
[ 0.83071993  0.48033884] 0
[ 0.83928483  0.47154973] 0
[ 0.81516677  0.46105809] 0
[ 0.81470053  0.47275402] 0
[ 0.86287926  0.41638247] 0
[ 0.82989463  0.41611584] 0
[ 0.87893785  0.43296031] 0
[ 0.85131941  0.47813179] 0
[ 0.89228802  0.41224654] 0
[ 0.84573701  0.41331796] 0
[ 0.86025497  0.4684996 ] 0
[ 0.88013919  0.43749788] 0
[ 0.8323016   0.41962151] 0
[ 0.84836236  0.49476821] 0
[ 0.89464993  0.43120121] 0
[ 0.81845006  0.46927181] 0
[ 0.84971589  0.43454453] 0
[ 0.83279321  0.43437165] 0
[ 0.88254462  0.4680602 ] 0
[ 0.86456958  0.46593005] 0
[ 0.84052549  0.49066218] 0
[ 0.86179662  0.48618913] 0
[ 0.87148092  0.43486958] 0
[ 0.8467051   0.42597419] 0
[ 0.88707059  0.47454297] 0
[ 0.80412967  0.42583893] 0
[ 0.82031388  0.47618322] 0
[ 0.82568863  0.42626668] 0
[ 0.87496349  0.43861824] 0
[ 0.81864653  0.49497422] 0
[ 0.85593649  0.48102337] 0
[ 0.83836627  0.47265006] 0
[ 0.84714216  0.4279196 ] 0
[ 0.8821199   0.46522543] 0
[ 0.83402724  0.49615409] 0
[ 0.80149996  0.43244614] 0
[ 0.82623547  0.45713154] 0
[ 0.83679598  0.40472397] 0
[ 0.85043439  0.49070873] 0
[ 0.81888612  0.42662823] 0
[ 0.81212396  0.41027663] 0
[ 0.83676671  0.41511416] 0
[ 0.88461438  0.44673637] 0
[ 0.85071034  0.46921234] 0
[ 0.88348366  0.40185921] 0
[ 0.85755478  0.46380202] 0
[ 0.81432569  0.46110612] 0
[ 0.85473493  0.44806415] 0
[ 0.85148114  0.47501998] 0
[ 0.85197602  0.49583923] 0
[ 0.88134961  0.41312928] 0
[ 0.87142859  0.42024305] 0
[ 0.80830731  0.49991168] 0
[ 0.84155622  0.45927696] 0
[ 0.81368352  0.42349541] 0
[ 0.88598185  0.41655499] 0
[ 0.86120905  0.43195938] 0
[ 0.80765365  0.41170481] 0
[ 0.8372972   0.44799421] 0
[ 0.84469774  0.41028698] 0
[ 0.80002408  0.44705606] 0
[ 0.8233305   0.44178955] 0
[ 0.8237312   0.47754031] 0
[ 0.83983076  0.4800418 ] 0
[ 0.85167461  0.43608355] 0
[ 0.81820819  0.48871258] 0
[ 0.80731552  0.44984409] 0
[ 0.84166955  0.48901693] 0
[ 0.85846779  0.40998289] 0
[ 0.80543031  0.44175127] 0
[ 0.87755728  0.42717888] 0
[ 0.89466622  0.40459847] 0
[ 0.86652188  0.49476061] 0
[ 0.84684015  0.40206282] 0
[ 0.86946667  0.45286218] 0
[ 0.85470695  0.45079219] 0
[ 0.86603785  0.43829064] 0
[ 0.85949457  0.46944654] 0
[ 0.84484297  0.41029137] 0
[ 0.81760864  0.4608169 ] 0
[ 0.81149969  0.45539323] 0
[ 0.82273157  0.44739965] 0
[ 0.8898654   0.43589817] 0
[ 0.89555853  0.44422072] 0
[ 0.88174918  0.45265756] 0
[ 0.89836515  0.40077273] 0
[ 0.83189301  0.45773705] 0
[ 0.81275766  0.44416458] 0
[ 0.82760513  0.45827017] 0
[ 0.88973265  0.4994439 ] 0
[ 0.83252199  0.44580255] 0
[ 0.83202676  0.43586496] 0
[ 0.8344826   0.48075299] 0
[ 0.88734952  0.42465773] 0
[ 0.84492873  0.48692995] 0
[ 0.80484527  0.48026852] 0
[ 0.82173246  0.40690426] 0
[ 0.85534635  0.47025402] 0
[ 0.82025417  0.44148904] 0
[ 0.83569918  0.46991205] 0
[ 0.87376633  0.49139679] 0
[ 0.82631391  0.41483137] 0
[ 0.84851935  0.42596449] 0
[ 0.80187547  0.45249159] 0
[ 0.81921791  0.44031266] 0
[ 0.85140481  0.46326222] 0
[ 0.8868172  0.4926223] 0
[ 0.82663636  0.4865807 ] 0
[ 0.8457814   0.45067543] 0
[ 0.80318736  0.42230374] 0
[ 0.86950077  0.47948035] 0
[ 0.87672582  0.4779142 ] 0
[ 0.80890786  0.48328633] 0
[ 0.8124198   0.46786614] 0
[ 0.85940644  0.42411937] 0
[ 0.81268699  0.45391406] 0
[ 0.8926735   0.47066801] 0
[ 0.80418909  0.43478366] 0
[ 0.86171353  0.41657793] 0
[ 0.87214599  0.46100008] 0
[ 0.85194975  0.41038957] 0
[ 0.81131838  0.40517555] 0
[ 0.80711288  0.41296112] 0
[ 0.87958615  0.48016668] 0
[ 0.8354814   0.40166518] 0
[ 0.86372163  0.48372687] 0
[ 0.86327546  0.47687026] 0
[ 0.8188641   0.44068691] 0
[ 0.85797643  0.49765875] 0
[ 0.83007042  0.44294307] 0
[ 0.8096871   0.47879981] 0
[ 0.87553284  0.49853004] 0
[ 0.84568943  0.40983266] 0
[ 0.85772739  0.49478193] 0
[ 0.82685498  0.44537891] 0
[ 0.80720471  0.43522053] 0
[ 0.8793919   0.46219698] 0
[ 0.88309987  0.4465718 ] 0
[ 0.87493465  0.45410578] 0
[ 0.8614501   0.44412104] 0
[ 0.89430578  0.4448621 ] 0
[ 0.81714828  0.46084165] 0
[ 0.89070772  0.42204836] 0
[ 0.82595962  0.4253006 ] 0
[ 0.85007162  0.41785536] 0
[ 0.83924379  0.46537454] 0
[ 0.89700767  0.48485953] 0
[ 0.84327494  0.45783579] 0
[ 0.82325769  0.44213441] 0
[ 0.89414374  0.42963252] 0
[ 0.80483685  0.48269144] 0
[ 0.82596201  0.4548894 ] 0
[ 0.87624439  0.48044949] 0
[ 0.82846567  0.46750012] 0
[ 0.80297797  0.46012842] 0
[ 0.8916058   0.40026849] 0
[ 0.8800421  0.428178 ] 0
[ 0.84126111  0.49187469] 0
[ 0.84717071  0.47715427] 0
[ 0.83280846  0.45159063] 0
[ 0.80170442  0.45436683] 0
[ 0.82576531  0.42862874] 0
[ 0.84698652  0.40556802] 0
[ 0.80812552  0.47710799] 0
[ 0.82633742  0.40133502] 0
[ 0.85009255  0.45504335] 0
[ 0.80684602  0.44110265] 0
[ 0.88181123  0.47816504] 0
[ 0.86602155  0.43649621] 0
[ 0.8239459   0.45358851] 0
[ 0.83405924  0.48985422] 0
[ 0.80001484  0.43969251] 0
[ 0.81235922  0.41569511] 0
[ 0.84202256  0.49410792] 0
[ 0.80559375  0.47556472] 0
[ 0.82675309  0.48430341] 0
[ 0.85134808  0.48493142] 0
[ 0.80746534  0.47069197] 0
[ 0.8894714   0.48831326] 0
[ 0.83965468  0.45206404] 0
[ 0.8188983   0.44224917] 0
[ 0.88947565  0.43564259] 0
[ 0.85469723  0.49940794] 0
[ 0.86964231  0.44375609] 0
[ 0.86166272  0.45224499] 0
[ 0.85880757  0.4886069 ] 0
[ 0.86201894  0.49885241] 0
[ 0.89884247  0.41065654] 0
[ 0.82616001  0.40144031] 0
[ 0.87615461  0.42951062] 0
[ 0.82823567  0.46619025] 0
[ 0.8412719   0.47916959] 0
[ 0.81696851  0.49727435] 0
[ 0.81282399  0.43659563] 0
[ 0.8122141   0.47927603] 0
[ 0.89938763  0.49176847] 0
[ 0.87249713  0.40261236] 0
[ 0.83284763  0.4355957 ] 0
[ 0.81415041  0.49131658] 0
[ 0.81700826  0.45110386] 0
[ 0.81082566  0.48324625] 0
[ 0.87294966  0.46620405] 0
[ 0.81660311  0.49132628] 0
[ 0.86036006  0.48218901] 0
[ 0.81057672  0.4338879 ] 0
[ 0.89279155  0.48844366] 0
[ 0.83678542  0.44759373] 0
[ 0.87689432  0.49980532] 0
[ 0.88047467  0.42757809] 0
[ 0.80649938  0.42139232] 0
[ 0.87505571  0.41630159] 0
[ 0.81712395  0.45687616] 0
[ 0.80312876  0.43644942] 0
[ 0.81221775  0.46486619] 0
[ 0.81553121  0.45877303] 0
[ 0.89311473  0.43837866] 0
[ 0.84614046  0.41914879] 0
[ 0.87260391  0.43950891] 0
[ 0.8300413   0.45629117] 0
[ 0.85435755  0.46297447] 0
[ 0.82197071  0.49604757] 0
[ 0.83191264  0.43895383] 0
[ 0.83579669  0.48977608] 0
[ 0.83047621  0.48549199] 0
[ 0.83970522  0.41781437] 0
[ 0.85081807  0.49961315] 0
[ 0.85015755  0.45879094] 0
[ 0.8392596   0.48623102] 0
[ 0.86099421  0.44066218] 0
[ 0.85057113  0.44852298] 0
[ 0.81041313  0.4641448 ] 0
[ 0.81982131  0.49233769] 0
[ 0.81861616  0.42300612] 0
[ 0.82848832  0.4808655 ] 0
[ 0.83239116  0.46906929] 0
[ 0.84967338  0.40384037] 0
[ 0.84252648  0.44385962] 0
[ 0.82500857  0.41835346] 0
[ 0.80570986  0.46742953] 0
[ 0.86697777  0.45844202] 0
[ 0.85928576  0.48722823] 0
[ 0.83454044  0.4017454 ] 0
[ 0.8848647   0.43725363] 0
[ 0.86239919  0.46393785] 0
[ 0.88071068  0.40479399] 0
[ 0.84954532  0.47953427] 0
[ 0.84799857  0.44045888] 0
[ 0.84207393  0.49532673] 0
[ 0.88989026  0.48384866] 0
[ 0.84294885  0.4245844 ] 0
[ 0.89749774  0.49944801] 0
