[ 0.20486474  0.39110437] 0
[ 0.29009802  0.30707524] 0
[ 0.29525366  0.32651786] 0
[ 0.250538    0.31412222] 0
[ 0.2572811   0.35285972] 0
[ 0.22034175  0.32413816] 0
[ 0.28948619  0.33058154] 0
[ 0.29065516  0.32150053] 0
[ 0.29209291  0.31223645] 0
[ 0.28312333  0.38116929] 0
[ 0.28995376  0.31553697] 0
[ 0.28300192  0.32025166] 0
[ 0.20094226  0.31862327] 0
[ 0.23054882  0.38205862] 0
[ 0.21143243  0.30944769] 0
[ 0.28316568  0.37440829] 0
[ 0.2653924   0.37554466] 0
[ 0.20738584  0.32493066] 0
[ 0.29527985  0.3345277 ] 0
[ 0.27744518  0.35997567] 0
[ 0.26677093  0.30452418] 0
[ 0.20414742  0.30157819] 0
[ 0.27941869  0.36082859] 0
[ 0.24851463  0.33001981] 0
[ 0.25865407  0.30155362] 0
[ 0.20598747  0.33667799] 0
[ 0.28415008  0.30645978] 0
[ 0.26232321  0.33055357] 0
[ 0.27934454  0.31931524] 0
[ 0.23977263  0.36667354] 0
[ 0.26595957  0.34033799] 0
[ 0.21132143  0.38534844] 0
[ 0.24110768  0.3266303 ] 0
[ 0.22710309  0.30364574] 0
[ 0.2494122   0.32301426] 0
[ 0.29206396  0.30522294] 0
[ 0.28074467  0.3568911 ] 0
[ 0.29607331  0.33263051] 0
[ 0.26174786  0.32575214] 0
[ 0.29439777  0.31616064] 0
[ 0.23481827  0.30817319] 0
[ 0.29856851  0.33736304] 0
[ 0.2578334   0.32903583] 0
[ 0.29719896  0.31385438] 0
[ 0.29262209  0.33289591] 0
[ 0.26778215  0.31701145] 0
[ 0.24156425  0.39905462] 0
[ 0.29485939  0.32206259] 0
[ 0.28216132  0.36873361] 0
[ 0.2393272   0.35011611] 0
[ 0.25272524  0.3636946 ] 0
[ 0.29140162  0.3361316 ] 0
[ 0.24108448  0.31710365] 0
[ 0.27142695  0.3019772 ] 0
[ 0.24441642  0.37332352] 0
[ 0.2234327   0.32711032] 0
[ 0.26042647  0.38693466] 0
[ 0.29592607  0.31665985] 0
[ 0.27920073  0.31572232] 0
[ 0.28507801  0.33913609] 0
[ 0.27550622  0.30945853] 0
[ 0.27477346  0.36199871] 0
