[ 0.51624355  0.5902885 ] 0
[ 0.50562791  0.58510738] 0
[ 0.53297214  0.59770869] 0
[ 0.50337647  0.58644379] 0
[ 0.50220917  0.5958249 ] 0
[ 0.50390229  0.59476201] 0
[ 0.50754518  0.59713162] 0
[ 0.50983491  0.59004018] 0
[ 0.50558884  0.58949109] 0
[ 0.50544574  0.59415119] 0
[ 0.51520617  0.59724188] 0
[ 0.50557314  0.59032605] 0
[ 0.51243599  0.59522183] 0
[ 0.50539804  0.59726931] 0
[ 0.50285144  0.59796948] 0
[ 0.50513424  0.59127848] 0
[ 0.50131085  0.58421673] 0
[ 0.5200575   0.59477584] 0
[ 0.51270468  0.58007896] 0
[ 0.50591131  0.59103872] 0
[ 0.5072887  0.5924954] 0
[ 0.52464029  0.59891813] 0
[ 0.5071163  0.5889607] 0
[ 0.56586167  0.53168352] 0
[ 0.5848322   0.51534939] 0
[ 0.59544151  0.53205467] 0
[ 0.52227127  0.54436985] 0
[ 0.5631797   0.55650993] 0
[ 0.51989161  0.53418403] 0
[ 0.56142782  0.56333779] 0
[ 0.54601197  0.57065835] 0
[ 0.56301457  0.50585686] 0
[ 0.58960277  0.5383196 ] 0
[ 0.5988791   0.50153385] 0
[ 0.56693274  0.50677436] 0
[ 0.55439021  0.51228613] 0
[ 0.56798727  0.54054181] 0
[ 0.52153799  0.52453111] 0
[ 0.55542553  0.53016738] 0
[ 0.5515893   0.50619751] 0
[ 0.57822786  0.51782628] 0
[ 0.52808637  0.51796012] 0
[ 0.56592824  0.51768307] 0
[ 0.59305231  0.50607335] 0
[ 0.57806132  0.52204524] 0
[ 0.5990804   0.51454912] 0
[ 0.56858571  0.50752545] 0
[ 0.56847209  0.54106852] 0
[ 0.55241516  0.51386997] 0
