[ 0.7227271   0.56173718] 0
[ 0.70740771  0.50916203] 0
[ 0.70719069  0.5268583 ] 0
[ 0.79462103  0.52250492] 0
[ 0.77582888  0.50795118] 0
[ 0.77348262  0.58632896] 0
[ 0.75082055  0.52819578] 0
[ 0.75890008  0.52912746] 0
[ 0.76303943  0.56219692] 0
[ 0.73549594  0.54754806] 0
[ 0.72982457  0.51500406] 0
[ 0.78784901  0.54910149] 0
[ 0.75965684  0.55995919] 0
[ 0.77331993  0.51457891] 0
[ 0.73842428  0.50281142] 0
[ 0.72235624  0.51692644] 0
[ 0.74520654  0.57880416] 0
[ 0.77453613  0.50634361] 0
[ 0.79460387  0.50900407] 0
[ 0.70897099  0.52469769] 0
[ 0.79263417  0.53154353] 0
[ 0.76593407  0.51323607] 0
[ 0.76571824  0.53386931] 0
[ 0.7262405   0.53283483] 0
[ 0.75161609  0.50812322] 0
[ 0.7875425  0.5430343] 0
[ 0.70766072  0.500634  ] 0
[ 0.7839015   0.56050868] 0
[ 0.78542466  0.59550955] 0
[ 0.77766689  0.55395407] 0
[ 0.74662086  0.51610026] 0
[ 0.79590541  0.56742196] 0
[ 0.75364964  0.51003133] 0
[ 0.77257561  0.51728442] 0
[ 0.71230589  0.57843431] 0
[ 0.75762223  0.56770637] 0
[ 0.72681408  0.54323868] 0
[ 0.75438754  0.53265617] 0
[ 0.77820633  0.52570226] 0
[ 0.71642582  0.53003921] 0
[ 0.72847007  0.54951947] 0
[ 0.76778504  0.50145669] 0
[ 0.76278068  0.50005191] 0
[ 0.71574627  0.55828671] 0
[ 0.7912351   0.52942288] 0
[ 0.72007557  0.58100677] 0
[ 0.70581312  0.50560809] 0
[ 0.70643345  0.54565685] 0
[ 0.78805804  0.55803088] 0
[ 0.74530315  0.57819418] 0
[ 0.79818131  0.54422505] 0
[ 0.74704951  0.56312052] 0
[ 0.73798107  0.57378753] 0
[ 0.77044176  0.53297102] 0
[ 0.76395471  0.59321983] 0
[ 0.76513273  0.5036355 ] 0
[ 0.74085065  0.51149683] 0
[ 0.74740813  0.51342376] 0
[ 0.78336931  0.50088082] 0
[ 0.72581367  0.53878763] 0
[ 0.79795753  0.54294164] 0
[ 0.72314541  0.51754599] 0
[ 0.74182006  0.51346771] 0
[ 0.70251724  0.51517083] 0
[ 0.73302732  0.50463327] 0
[ 0.74860245  0.55465379] 0
[ 0.73787729  0.51413385] 0
[ 0.79509884  0.53211211] 0
[ 0.79688429  0.58980817] 0
[ 0.7388032   0.59135238] 0
[ 0.78978482  0.53346633] 0
[ 0.7805954   0.56577951] 0
[ 0.73214531  0.54062215] 0
[ 0.788571    0.51539224] 0
[ 0.74560008  0.57991365] 0
[ 0.7095102   0.51442467] 0
[ 0.76021668  0.50432622] 0
[ 0.71505328  0.52534992] 0
[ 0.79556593  0.53176253] 0
[ 0.75156909  0.53509673] 0
[ 0.77415711  0.57379177] 0
[ 0.7869505   0.50536639] 0
[ 0.73792718  0.55085507] 0
[ 0.78267368  0.55197514] 0
[ 0.71274576  0.54551599] 0
[ 0.73336018  0.55122403] 0
[ 0.7599693   0.51822053] 0
[ 0.79198753  0.53115379] 0
[ 0.78254503  0.54170207] 0
[ 0.74752356  0.54366696] 0
[ 0.73107995  0.53492376] 0
[ 0.71687447  0.51589736] 0
[ 0.73509791  0.53518582] 0
[ 0.78642677  0.518362  ] 0
[ 0.78990583  0.53543911] 0
[ 0.77123097  0.51912845] 0
[ 0.74401873  0.59950015] 0
[ 0.71001678  0.54825534] 0
[ 0.70663566  0.54503748] 0
[ 0.78328393  0.52903042] 0
[ 0.78673777  0.50816074] 0
[ 0.79403357  0.54277622] 0
[ 0.7409504   0.57637062] 0
[ 0.76528373  0.5949273 ] 0
[ 0.78158007  0.5123214 ] 0
[ 0.7692005  0.5781871] 0
[ 0.78957415  0.527096  ] 0
[ 0.76581956  0.51169432] 0
[ 0.78937695  0.50671374] 0
[ 0.78441716  0.54750874] 0
[ 0.74946318  0.57784087] 0
[ 0.73779345  0.56169468] 0
[ 0.76641278  0.51414765] 0
[ 0.7596258   0.52353544] 0
[ 0.76524431  0.50354898] 0
[ 0.72905055  0.51892574] 0
[ 0.77452942  0.58823971] 0
[ 0.79378357  0.53217515] 0
[ 0.73087374  0.50598449] 0
[ 0.72284905  0.50380788] 0
[ 0.79122711  0.52263526] 0
[ 0.72511468  0.53290793] 0
[ 0.74585819  0.53526314] 0
[ 0.72209223  0.52845078] 0
[ 0.75246173  0.52330973] 0
[ 0.73040537  0.5950071 ] 0
