[ 0.05750886  0.09259785] 0
[ 0.03389028  0.02169545] 0
[ 0.06573411  0.07144906] 0
[ 0.07263055  0.0732572 ] 0
[ 0.08727227  0.09384311] 0
[ 0.06382653  0.07905756] 0
[ 0.08467066  0.04419398] 0
[ 0.08983413  0.01759211] 0
[ 0.07241823  0.02386381] 0
[ 0.01274437  0.05773251] 0
[ 0.07393097  0.05452769] 0
[ 0.07498313  0.09381369] 0
[ 0.08149572  0.0236869 ] 0
[ 0.02602108  0.02039455] 0
[ 0.08743885  0.0465953 ] 0
[ 0.08687339  0.01998286] 0
[ 0.02205659  0.02977077] 0
[ 0.05329374  0.09387125] 0
[ 0.06492487  0.01094114] 0
[ 0.04588586  0.06785197] 0
[ 0.08012734  0.03387644] 0
[ 0.06682199  0.04107292] 0
[ 0.04480537  0.01741589] 0
[ 0.02503615  0.04124521] 0
[ 0.02105313  0.08489107] 0
[ 0.0421598   0.02093607] 0
[ 0.09512884  0.06617759] 0
[ 0.07092336  0.0044438 ] 0
[ 0.04553435  0.03102226] 0
[ 0.00938714  0.08539352] 0
[ 0.01669039  0.07355064] 0
[ 0.03540254  0.02431036] 0
[ 0.08305683  0.04702414] 0
[ 0.0570901   0.07136129] 0
[ 0.09024705  0.08739965] 0
[ 0.08309599  0.00490439] 0
[ 0.0750063   0.05664482] 0
[ 0.03576596  0.07222796] 0
[ 0.05949709  0.01928093] 0
[ 0.04637324  0.05655125] 0
[ 0.04987841  0.08788803] 0
[ 0.05424096  0.05453117] 0
[ 0.09462601  0.09552681] 0
[ 0.08516845  0.09296576] 0
[ 0.09199103  0.06389209] 0
[ 0.01805478  0.03422428] 0
[ 0.00518751  0.0622743 ] 0
[ 0.06429767  0.07065841] 0
[ 0.04323117  0.03909337] 0
[ 0.0925038   0.07320408] 0
[ 0.06640256  0.04376025] 0
[ 0.04312828  0.0693807 ] 0
[ 0.08007204  0.06731356] 0
[ 0.08579969  0.09988727] 0
[ 0.04852944  0.09639409] 0
[ 0.04428394  0.00071044] 0
[ 0.0276095   0.04783553] 0
[ 0.06097409  0.05246981] 0
[ 0.07085427  0.06786998] 0
[ 0.05311528  0.05577812] 0
[ 0.07467349  0.08177832] 0
[ 0.08579877  0.03188555] 0
[ 0.09625189  0.03773685] 0
[ 0.08691188  0.00185602] 0
[ 0.09754745  0.05925897] 0
[ 0.01117343  0.0884587 ] 0
[ 0.04254995  0.06172138] 0
[ 0.0820403   0.08156627] 0
[ 0.04956053  0.08925465] 0
[ 0.08357743  0.0717688 ] 0
